company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Amazon,340000,13,0,Male,Asian,Master's Degree
Microsoft,195000,5,5,Male,White,Bachelor's Degree
Apple,235000,5,0,Male,Asian,Master's Degree
Microsoft,330000,20,11,Male,Asian,Bachelor's Degree
Microsoft,170000,2,0,Other,Two Or More,Master's Degree
Apple,460000,6,0,Male,White,PhD
Google,122000,2,0,Male,White,Bachelor's Degree
Oracle,12000,1,1,Male,Asian,Bachelor's Degree
Facebook,425000,10,2,Female,White,Master's Degree
Amazon,700000,20,12,Male,White,Master's Degree
Microsoft,150000,0,0,Female,White,Bachelor's Degree
Facebook,380000,10,0,Male,White,Master's Degree
Facebook,226000,5,0,Female,Asian,Master's Degree
Amazon,341000,3,0,Male,Asian,PhD
Microsoft,181000,1,0,Male,Asian,Bachelor's Degree
Apple,194000,2,0,Female,Asian,Master's Degree
Google,253000,2,0,Female,Asian,Master's Degree
Facebook,310000,15,0,Male,Asian,Master's Degree
Apple,292000,15,2,Male,Asian,PhD
Amazon,600000,20,1,Male,Asian,PhD
Google,178000,6,1,Male,White,Bachelor's Degree
Amazon,155000,5,3,Male,Hispanic,Bachelor's Degree
Google,175000,1,1,Male,Asian,Master's Degree
Amazon,90000,1,1,Female,Asian,Master's Degree
Google,201000,1,0,Male,Black,Master's Degree
Amazon,164000,0,0,Male,Asian,Bachelor's Degree
Microsoft,250000,10,8,Male,Hispanic,Master's Degree
Facebook,588000,10,0,Male,White,Bachelor's Degree
Amazon,210000,5,1,Male,White,Bachelor's Degree
Microsoft,193000,10,8,Male,Asian,Bachelor's Degree
Amazon,210000,12,3,Male,Asian,Master's Degree
Google,400000,14,2,Male,White,Bachelor's Degree
Amazon,230000,11,0,Male,Two Or More,Master's Degree
Facebook,329000,15,0,Male,White,Bachelor's Degree
Google,464000,15,9,Male,White,Bachelor's Degree
Google,173000,0,0,Female,Asian,Bachelor's Degree
Microsoft,83000,14,11,Male,Asian,Bachelor's Degree
Google,161000,2,0,Male,Black,Bachelor's Degree
Google,250000,9,3,Male,White,Bachelor's Degree
Amazon,162000,0,0,Male,Asian,Master's Degree
Apple,245000,5,0,Male,White,Bachelor's Degree
Amazon,169000,2,0,Male,Asian,Bachelor's Degree
Facebook,145000,0,0,Male,White,Bachelor's Degree
Apple,184000,4,2,Male,White,Master's Degree
Apple,460000,15,5,Male,White,PhD
Microsoft,112000,2,1,Female,Black,Master's Degree
Microsoft,57000,7,1,Male,Asian,Bachelor's Degree
Microsoft,300000,6,4,Male,Asian,PhD
Facebook,358000,6,4,Male,White,Master's Degree
Facebook,251000,0,0,Male,Asian,PhD
